Tournament,Date,Series,Court,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,Score
Citi Open,2021-08-06,ATP500,Outdoor,Hard,Quarterfinals,3,Brooksby J.,Millman J.,Brooksby J.,130,43,642,1476,1.4,3.0,6-1 6-2
Citi Open,2021-08-06,ATP500,Outdoor,Hard,Quarterfinals,3,Johnson S.,Sinner J.,Sinner J.,81,24,921,2280,3.4,1.33,4-6 2-6
Citi Open,2021-08-07,ATP500,Outdoor,Hard,Quarterfinals,3,Nishikori K.,Harris L.,Nishikori K.,67,50,1003,1303,1.57,2.37,6-3 7-5
Citi Open,2021-08-07,ATP500,Outdoor,Hard,Quarterfinals,3,Kudla D.,Mcdonald M.,Mcdonald M.,103,107,778,770,2.5,1.53,3-6 2-6
Citi Open,2021-08-07,ATP500,Outdoor,Hard,Semifinals,3,Sinner J.,Brooksby J.,Sinner J.,24,130,2280,642,1.57,2.37,7-6 6-1
Citi Open,2021-08-07,ATP500,Outdoor,Hard,Semifinals,3,Nishikori K.,Mcdonald M.,Mcdonald M.,67,107,1003,770,1.44,2.75,4-6 6-3 5-7
Citi Open,2021-08-08,ATP500,Outdoor,Hard,The Final,3,Sinner J.,Mcdonald M.,Sinner J.,24,107,2280,770,1.25,4.0,7-5 6-4 7-5
Canadian Open,2021-08-09,Masters 1000,Outdoor,Hard,1st Round,3,Ramos-Vinolas A.,Cilic M.,Cilic M.,48,39,1378,1593,3.4,1.33,2-6 6-4 3-6
Canadian Open,2021-08-09,Masters 1000,Outdoor,Hard,1st Round,3,Humbert U.,Sonego L.,Humbert U.,26,25,2090,2147,1.5,2.62,6-3 6-4
Canadian Open,2021-08-09,Masters 1000,Outdoor,Hard,1st Round,3,Struff J.L.,Fognini F.,Fognini F.,46,37,1410,1619,1.9,1.9,7-6 2-6 4-6
Canadian Open,2021-08-09,Masters 1000,Outdoor,Hard,1st Round,3,Duckworth J.,Fritz T.,Duckworth J.,85,40,899,1550,3.2,1.36,7-6 6-3
Canadian Open,2021-08-09,Masters 1000,Outdoor,Hard,1st Round,3,Evans D.,Bublik A.,Bublik A.,27,38,2084,1611,2.0,1.8,4-6 4-6
Canadian Open,2021-08-09,Masters 1000,Outdoor,Hard,1st Round,3,Harris L.,Schnur B.,Harris L.,49,247,1368,272,1.28,3.75,6-3 6-2
Canadian Open,2021-08-09,Masters 1000,Outdoor,Hard,1st Round,3,Berankis R.,Millman J.,Millman J.,84,42,902,1505,1.9,1.9,3-6 6-7
Canadian Open,2021-08-10,Masters 1000,Outdoor,Hard,1st Round,3,Paul T.,Pospisil V.,Paul T.,58,61,1143,1125,2.0,1.8,6-7 6-2 6-3
Canadian Open,2021-08-10,Masters 1000,Outdoor,Hard,1st Round,3,Kyrgios N.,Opelka R.,Opelka R.,80,32,918,1741,1.72,2.1,6-4 6-7 4-6
Canadian Open,2021-08-10,Masters 1000,Outdoor,Hard,1st Round,3,Lajovic D.,Ruusuvuori E.,Lajovic D.,44,72,1485,983,3.4,1.33,3-6 6-3 6-3
Canadian Open,2021-08-10,Masters 1000,Outdoor,Hard,1st Round,3,Kecmanovic M.,Nishikori K.,Nishikori K.,59,55,1142,1173,3.0,1.4,4-6 7-6 2-6
Canadian Open,2021-08-10,Masters 1000,Outdoor,Hard,1st Round,3,Basilashvili N.,Brooksby J.,Basilashvili N.,43,97,1498,812,2.75,1.44,2-6 6-0 6-4
Canadian Open,2021-08-10,Masters 1000,Outdoor,Hard,1st Round,3,Norrie C.,Khachanov K.,Khachanov K.,28,29,1975,1920,2.0,1.8,4-6 7-5 4-6
Canadian Open,2021-08-10,Masters 1000,Outdoor,Hard,1st Round,3,Isner J.,Davidovich Fokina A.,Isner J.,30,34,1901,1723,1.61,2.3,6-4 6-1
Canadian Open,2021-08-10,Masters 1000,Outdoor,Hard,1st Round,3,Nishioka Y.,Tiafoe F.,Tiafoe F.,56,52,1155,1226,2.5,1.53,4-6 3-6
Canadian Open,2021-08-10,Masters 1000,Outdoor,Hard,1st Round,3,Paire B.,Mcdonald M.,Paire B.,50,64,1354,1060,2.37,1.57,6-3 6-4
Canadian Open,2021-08-10,Masters 1000,Outdoor,Hard,2nd Round,3,Bublik A.,Medvedev D.,Medvedev D.,38,2,1611,9643,4.5,1.2,6-4 3-6 4-6
Canadian Open,2021-08-10,Masters 1000,Outdoor,Hard,2nd Round,3,Ruud C.,Cilic M.,Ruud C.,12,39,3205,1593,1.72,2.1,6-3 3-6 6-3
Canadian Open,2021-08-11,Masters 1000,Outdoor,Hard,2nd Round,3,Humbert U.,Tsitsipas S.,Tsitsipas S.,26,3,2090,8115,2.5,1.36,3-6 7-6 1-6
Canadian Open,2021-08-11,Masters 1000,Outdoor,Hard,2nd Round,3,Opelka R.,Dimitrov G.,Opelka R.,32,21,1741,2466,1.53,2.5,6-3 6-4
Canadian Open,2021-08-11,Masters 1000,Outdoor,Hard,2nd Round,3,Sinner J.,Duckworth J.,Duckworth J.,15,85,2745,899,1.2,4.5,3-6 4-6
Canadian Open,2021-08-11,Masters 1000,Outdoor,Hard,2nd Round,3,Isner J.,Garin C.,Isner J.,30,20,1901,2475,1.44,2.75,4-6 6-3 6-4
Canadian Open,2021-08-11,Masters 1000,Outdoor,Hard,2nd Round,3,Lopez F.,Harris L.,Harris L.,99,49,810,1368,4.0,1.25,2-6 3-6
Canadian Open,2021-08-11,Masters 1000,Outdoor,Hard,2nd Round,3,Lajovic D.,Auger-Aliassime F.,Lajovic D.,44,16,1485,2693,4.0,1.25,7-5 6-4
Canadian Open,2021-08-11,Masters 1000,Outdoor,Hard,2nd Round,3,Fognini F.,Rublev A.,Rublev A.,37,7,1619,6005,4.0,1.25,6-7 3-6
Canadian Open,2021-08-11,Masters 1000,Outdoor,Hard,2nd Round,3,Khachanov K.,Karatsev A.,Khachanov K.,29,22,1920,2287,1.57,2.37,7-6 6-4
Canadian Open,2021-08-11,Masters 1000,Outdoor,Hard,2nd Round,3,De Minaur A.,Basilashvili N.,Basilashvili N.,17,43,2600,1498,1.53,2.5,1-6 1-6
Canadian Open,2021-08-11,Masters 1000,Outdoor,Hard,2nd Round,3,Schwartzman D.,Paire B.,Schwartzman D.,14,50,2913,1354,1.36,3.2,7-5 6-1
Canadian Open,2021-08-11,Masters 1000,Outdoor,Hard,2nd Round,3,Paul T.,Bautista Agut R.,Bautista Agut R.,58,18,1143,2585,2.75,1.44,3-6 4-6
Canadian Open,2021-08-12,Masters 1000,Outdoor,Hard,2nd Round,3,Tiafoe F.,Shapovalov D.,Tiafoe F.,52,10,1226,3625,3.2,2.5,6-1 6-4
Canadian Open,2021-08-12,Masters 1000,Outdoor,Hard,2nd Round,3,Millman J.,Monfils G.,Monfils G.,42,24,1505,2253,1.61,2.3,6-3 3-6 4-6
Canadian Open,2021-08-12,Masters 1000,Outdoor,Hard,3rd Round,3,Tsitsipas S.,Khachanov K.,Tsitsipas S.,3,29,8115,1920,1.36,2.5,6-3 6-2
Canadian Open,2021-08-12,Masters 1000,Outdoor,Hard,3rd Round,3,Lajovic D.,Ruud C.,Ruud C.,44,12,1485,3205,3.2,1.36,4-6 3-6
Canadian Open,2021-08-12,Masters 1000,Outdoor,Hard,3rd Round,3,Isner J.,Rublev A.,Isner J.,30,7,1901,6005,2.75,1.44,7-5 7-6
Canadian Open,2021-08-12,Masters 1000,Outdoor,Hard,3rd Round,3,Harris L.,Opelka R.,Opelka R.,49,32,1368,1741,1.9,1.9,6-4 6-7 6-7
Canadian Open,2021-08-12,Masters 1000,Outdoor,Hard,3rd Round,3,Bautista Agut R.,Schwartzman D.,Bautista Agut R.,18,14,2585,2913,1.8,2.0,6-3 3-6 7-5
Canadian Open,2021-08-12,Masters 1000,Outdoor,Hard,3rd Round,3,Tiafoe F.,Monfils G.,Monfils G.,52,24,1226,2253,1.4,3.0,1-6 6-7
Canadian Open,2021-08-13,Masters 1000,Outdoor,Hard,3rd Round,3,Medvedev D.,Duckworth J.,Medvedev D.,2,85,9643,899,1.08,8.0,6-2 6-4
Canadian Open,2021-08-13,Masters 1000,Outdoor,Hard,3rd Round,3,Basilashvili N.,Hurkacz H.,Hurkacz H.,43,13,1498,3118,2.2,1.66,7-6 4-6 4-6
Canadian Open,2021-08-13,Masters 1000,Outdoor,Hard,Quarterfinals,3,Tsitsipas S.,Ruud C.,Tsitsipas S.,3,12,8115,3205,1.25,2.5,6-1 6-4
Canadian Open,2021-08-13,Masters 1000,Outdoor,Hard,Quarterfinals,3,Bautista Agut R.,Opelka R.,Opelka R.,18,32,2585,1741,1.66,2.2,3-6 6-7
Canadian Open,2021-08-14,Masters 1000,Outdoor,Hard,Quarterfinals,3,Medvedev D.,Hurkacz H.,Medvedev D.,2,13,9643,3118,1.22,4.33,2-6 7-6 7-6
Canadian Open,2021-08-14,Masters 1000,Outdoor,Hard,Quarterfinals,3,Monfils G.,Isner J.,Isner J.,24,30,2253,1901,2.62,1.5,6-7 4-6
Canadian Open,2021-08-14,Masters 1000,Outdoor,Hard,Semifinals,3,Opelka R.,Tsitsipas S.,Opelka R.,32,3,1741,8115,4.33,1.22,6-7 7-6 6-4
Canadian Open,2021-08-15,Masters 1000,Outdoor,Hard,Semifinals,3,Isner J.,Medvedev D.,Medvedev D.,30,2,1901,9643,3.5,1.3,2-6 2-6
Canadian Open,2021-08-15,Masters 1000,Outdoor,Hard,The Final,3,Medvedev D.,Opelka R.,Medvedev D.,2,32,9643,1741,1.16,5.0,6-4 6-3
Western & Southern Financial Group Masters,2021-08-15,Masters 1000,Outdoor,Hard,1st Round,3,Kecmanovic M.,Paire B.,Paire B.,58,50,1142,1375,1.57,2.37,7-5 3-6 2-6
Western & Southern Financial Group Masters,2021-08-16,Masters 1000,Outdoor,Hard,1st Round,3,Pella G.,Goffin D.,Pella G.,93,19,834,2513,3.5,1.3,6-3 6-3
Western & Southern Financial Group Masters,2021-08-16,Masters 1000,Outdoor,Hard,1st Round,3,Delbonis F.,Sinner J.,Sinner J.,48,15,1407,2745,5.5,1.14,2-6 5-7
Western & Southern Financial Group Masters,2021-08-16,Masters 1000,Outdoor,Hard,1st Round,3,Fognini F.,Basilashvili N.,Fognini F.,36,40,1689,1578,2.1,1.72,7-6 6-3
Western & Southern Financial Group Masters,2021-08-16,Masters 1000,Outdoor,Hard,1st Round,3,Struff J.L.,Koepfer D.,Koepfer D.,47,59,1410,1126,1.66,2.2,6-7 7-5 3-6
Western & Southern Financial Group Masters,2021-08-16,Masters 1000,Outdoor,Hard,1st Round,3,Ramos-Vinolas A.,Fritz T.,Ramos-Vinolas A.,49,42,1378,1550,3.2,1.36,4-6 6-4 6-4
Western & Southern Financial Group Masters,2021-08-16,Masters 1000,Outdoor,Hard,1st Round,3,Fucsovics M.,Auger-Aliassime F.,Auger-Aliassime F.,37,17,1644,2693,2.75,1.44,6-7 3-6
Western & Southern Financial Group Masters,2021-08-16,Masters 1000,Outdoor,Hard,1st Round,3,Harris L.,Nishioka Y.,Harris L.,46,57,1433,1170,1.4,3.0,6-3 6-4
Western & Southern Financial Group Masters,2021-08-16,Masters 1000,Outdoor,Hard,1st Round,3,Evans D.,Schwartzman D.,Schwartzman D.,28,14,2096,2980,2.75,1.44,2-6 6-4 3-6
Western & Southern Financial Group Masters,2021-08-17,Masters 1000,Outdoor,Hard,1st Round,3,De Minaur A.,Krajinovic F.,De Minaur A.,18,33,2600,1724,1.66,2.2,0-6 6-4 6-4
Western & Southern Financial Group Masters,2021-08-17,Masters 1000,Outdoor,Hard,1st Round,3,Gasquet R.,Murray A.,Murray A.,53,105,1221,775,1.72,2.1,4-6 4-6
Western & Southern Financial Group Masters,2021-08-17,Masters 1000,Outdoor,Hard,1st Round,3,Khachanov K.,Anderson K.,Khachanov K.,30,76,2055,958,1.61,2.3,6-2 6-4
Western & Southern Financial Group Masters,2021-08-17,Masters 1000,Outdoor,Hard,1st Round,3,Nakashima B.,Mcdonald M.,Mcdonald M.,86,64,893,1060,1.66,2.2,5-7 2-6
Western & Southern Financial Group Masters,2021-08-17,Masters 1000,Outdoor,Hard,1st Round,3,Hurkacz H.,Davidovich Fokina A.,Hurkacz H.,12,34,3288,1723,1.36,3.2,6-1 6-7 6-1
Western & Southern Financial Group Masters,2021-08-17,Masters 1000,Outdoor,Hard,1st Round,3,Djere L.,Korda S.,Korda S.,52,45,1307,1449,4.5,1.2,4-6 4-6
Western & Southern Financial Group Masters,2021-08-17,Masters 1000,Outdoor,Hard,1st Round,3,Dimitrov G.,Bautista Agut R.,Dimitrov G.,21,16,2466,2720,2.62,1.5,6-3 6-4
Western & Southern Financial Group Masters,2021-08-17,Masters 1000,Outdoor,Hard,1st Round,3,Giron M.,Bublik A.,Bublik A.,66,38,1047,1633,2.37,1.57,6-3 3-6 6-7
Western & Southern Financial Group Masters,2021-08-17,Masters 1000,Outdoor,Hard,1st Round,3,Cilic M.,Karatsev A.,Cilic M.,39,25,1628,2287,2.0,1.8,7-5 6-3
Western & Southern Financial Group Masters,2021-08-17,Masters 1000,Outdoor,Hard,1st Round,3,Norrie C.,Isner J.,Isner J.,31,26,1975,2238,1.9,1.9,6-4 6-7 4-6
Western & Southern Financial Group Masters,2021-08-17,Masters 1000,Outdoor,Hard,1st Round,3,Sonego L.,Alcaraz C.,Sonego L.,27,55,2157,1196,2.2,1.66,6-3 7-6
Western & Southern Financial Group Masters,2021-08-17,Masters 1000,Outdoor,Hard,1st Round,3,Moutet C.,Opelka R.,Opelka R.,90,23,848,2341,2.75,1.44,6-7 6-4 4-6
Western & Southern Financial Group Masters,2021-08-18,Masters 1000,Outdoor,Hard,1st Round,3,Monfils G.,Lajovic D.,Monfils G.,22,41,2423,1565,1.61,2.3,7-6 6-2
Western & Southern Financial Group Masters,2021-08-18,Masters 1000,Outdoor,Hard,1st Round,3,Humbert U.,Tiafoe F.,Tiafoe F.,29,51,2090,1312,1.53,2.5,5-7 6-7
Western & Southern Financial Group Masters,2021-08-18,Masters 1000,Outdoor,Hard,1st Round,3,Paul T.,Garin C.,Paul T.,56,20,1193,2510,1.72,2.1,4-6 6-3 6-4
Western & Southern Financial Group Masters,2021-08-18,Masters 1000,Outdoor,Hard,2nd Round,3,Ramos-Vinolas A.,Berrettini M.,Berrettini M.,49,8,1378,5533,5.5,1.14,7-6 3-6 5-7
Western & Southern Financial Group Masters,2021-08-18,Masters 1000,Outdoor,Hard,2nd Round,3,Paire B.,Shapovalov D.,Paire B.,50,10,1375,3625,3.75,1.28,6-3 4-6 7-5
Western & Southern Financial Group Masters,2021-08-18,Masters 1000,Outdoor,Hard,2nd Round,3,Bublik A.,Dimitrov G.,Dimitrov G.,38,21,1633,2466,2.1,1.72,3-6 5-7
Western & Southern Financial Group Masters,2021-08-18,Masters 1000,Outdoor,Hard,2nd Round,3,Carreno Busta P.,Koepfer D.,Carreno Busta P.,13,59,3260,1126,1.3,3.5,6-4 6-2
Western & Southern Financial Group Masters,2021-08-18,Masters 1000,Outdoor,Hard,2nd Round,3,Khachanov K.,Auger-Aliassime F.,Auger-Aliassime F.,30,17,2055,2693,1.57,2.37,7-6 3-6 4-6
Western & Southern Financial Group Masters,2021-08-18,Masters 1000,Outdoor,Hard,2nd Round,3,Pella G.,Fognini F.,Pella G.,93,36,834,1689,3.5,1.3,6-1 7-5
Western & Southern Financial Group Masters,2021-08-18,Masters 1000,Outdoor,Hard,2nd Round,3,Murray A.,Hurkacz H.,Hurkacz H.,105,12,775,3288,3.4,1.33,6-7 3-6
Western & Southern Financial Group Masters,2021-08-18,Masters 1000,Outdoor,Hard,2nd Round,3,Rublev A.,Cilic M.,Rublev A.,7,39,6005,1628,1.3,3.5,5-7 6-3 6-1
Western & Southern Financial Group Masters,2021-08-18,Masters 1000,Outdoor,Hard,2nd Round,3,Opelka R.,Ruud C.,Ruud C.,23,11,2341,3350,2.1,1.72,7-6 0-6 6-7
Western & Southern Financial Group Masters,2021-08-18,Masters 1000,Outdoor,Hard,2nd Round,3,Medvedev D.,Mcdonald M.,Medvedev D.,2,64,10620,1060,1.16,5.0,6-2 6-2
Western & Southern Financial Group Masters,2021-08-18,Masters 1000,Outdoor,Hard,2nd Round,3,Sinner J.,Isner J.,Isner J.,15,26,2745,2238,1.66,2.2,7-5 6-7 4-6
Western & Southern Financial Group Masters,2021-08-18,Masters 1000,Outdoor,Hard,2nd Round,3,Zverev A.,Harris L.,Zverev A.,5,46,7263,1433,1.3,3.5,7-6 6-2
Western & Southern Financial Group Masters,2021-08-18,Masters 1000,Outdoor,Hard,2nd Round,3,Paul T.,Sonego L.,Sonego L.,56,27,1193,2157,2.1,1.72,6-7 2-6
Western & Southern Financial Group Masters,2021-08-18,Masters 1000,Outdoor,Hard,2nd Round,3,Monfils G.,De Minaur A.,Monfils G.,22,18,2423,2600,2.1,1.72,6-3 7-5
Western & Southern Financial Group Masters,2021-08-19,Masters 1000,Outdoor,Hard,2nd Round,3,Tiafoe F.,Schwartzman D.,Schwartzman D.,51,14,1312,2980,2.1,1.72,1-6 6-4 4-6
Western & Southern Financial Group Masters,2021-08-19,Masters 1000,Outdoor,Hard,2nd Round,3,Tsitsipas S.,Korda S.,Tsitsipas S.,3,45,8350,1449,1.3,3.5,7-6 6-3
Western & Southern Financial Group Masters,2021-08-19,Masters 1000,Outdoor,Hard,3rd Round,3,Dimitrov G.,Medvedev D.,Medvedev D.,21,2,2466,10620,5.0,1.16,3-6 3-6
Western & Southern Financial Group Masters,2021-08-19,Masters 1000,Outdoor,Hard,3rd Round,3,Paire B.,Isner J.,Paire B.,50,26,1375,2238,3.2,1.36,7-6 6-7 6-1
Western & Southern Financial Group Masters,2021-08-19,Masters 1000,Outdoor,Hard,3rd Round,3,Monfils G.,Rublev A.,Rublev A.,22,7,2423,6005,3.5,1.3,6-7 6-7
Western & Southern Financial Group Masters,2021-08-19,Masters 1000,Outdoor,Hard,3rd Round,3,Carreno Busta P.,Hurkacz H.,Carreno Busta P.,13,12,3260,3288,2.0,1.8,7-6 7-6
Western & Southern Financial Group Masters,2021-08-19,Masters 1000,Outdoor,Hard,3rd Round,3,Pella G.,Zverev A.,Zverev A.,93,5,834,7263,8.0,1.08,2-6 3-6
Western & Southern Financial Group Masters,2021-08-19,Masters 1000,Outdoor,Hard,3rd Round,3,Ruud C.,Schwartzman D.,Ruud C.,11,14,3350,2980,1.8,2.0,6-4 6-3
Western & Southern Financial Group Masters,2021-08-20,Masters 1000,Outdoor,Hard,3rd Round,3,Sonego L.,Tsitsipas S.,Tsitsipas S.,27,3,2157,8350,5.0,1.16,7-5 3-6 4-6
Western & Southern Financial Group Masters,2021-08-20,Masters 1000,Outdoor,Hard,3rd Round,3,Auger-Aliassime F.,Berrettini M.,Auger-Aliassime F.,17,8,2693,5533,2.5,1.53,6-4 6-3
Western & Southern Financial Group Masters,2021-08-20,Masters 1000,Outdoor,Hard,Quarterfinals,3,Paire B.,Rublev A.,Rublev A.,50,7,1375,6005,4.5,1.2,2-6 6-3 3-6
Western & Southern Financial Group Masters,2021-08-20,Masters 1000,Outdoor,Hard,Quarterfinals,3,Medvedev D.,Carreno Busta P.,Medvedev D.,2,13,10620,3260,1.28,3.75,6-1 6-1
Western & Southern Financial Group Masters,2021-08-21,Masters 1000,Outdoor,Hard,Quarterfinals,3,Auger-Aliassime F.,Tsitsipas S.,Tsitsipas S.,17,3,2693,8350,3.2,1.36,2-6 7-5 1-6
Western & Southern Financial Group Masters,2021-08-21,Masters 1000,Outdoor,Hard,Quarterfinals,3,Zverev A.,Ruud C.,Zverev A.,5,11,7263,3350,1.25,4.0,6-1 6-3
Western & Southern Financial Group Masters,2021-08-21,Masters 1000,Outdoor,Hard,Semifinals,3,Medvedev D.,Rublev A.,Rublev A.,2,7,10620,6005,1.22,4.33,6-2 3-6 3-6
Western & Southern Financial Group Masters,2021-08-21,Masters 1000,Outdoor,Hard,Semifinals,3,Zverev A.,Tsitsipas S.,Zverev A.,5,3,7263,8350,1.66,2.2,6-4 3-6 7-6
Western & Southern Financial Group Masters,2021-08-22,Masters 1000,Outdoor,Hard,The Final,3,Rublev A.,Zverev A.,Zverev A.,7,5,6005,7263,3.0,1.4,2-6 3-6
Winston-Salem Open at Wake Forest University,2021-08-22,ATP250,Outdoor,Hard,1st Round,3,Cecchinato M.,Sandgren T.,Cecchinato M.,80,91,911,833,3.2,1.36,6-4 6-4
Winston-Salem Open at Wake Forest University,2021-08-22,ATP250,Outdoor,Hard,1st Round,3,Gombos N.,Gerasimov E.,Gerasimov E.,112,81,740,910,2.5,1.53,6-7 6-3 2-6
Winston-Salem Open at Wake Forest University,2021-08-22,ATP250,Outdoor,Hard,1st Round,3,Monteiro T.,Duckworth J.,Monteiro T.,93,67,829,1004,3.75,1.28,6-4 4-6 7-6
Winston-Salem Open at Wake Forest University,2021-08-23,ATP250,Outdoor,Hard,1st Round,3,Albot R.,Kwon S.W.,Kwon S.W.,108,74,744,949,3.2,1.36,2-6 5-7
Winston-Salem Open at Wake Forest University,2021-08-23,ATP250,Outdoor,Hard,1st Round,3,Ymer M.,Travaglia S.,Ymer M.,90,100,843,811,1.72,2.1,6-2 1-6 6-2
Winston-Salem Open at Wake Forest University,2021-08-23,ATP250,Outdoor,Hard,1st Round,3,Rubin N.,Murray A.,Murray A.,306,114,176,730,6.75,1.13,2-6 0-6
Winston-Salem Open at Wake Forest University,2021-08-23,ATP250,Outdoor,Hard,1st Round,3,Giron M.,Bagnis F.,Giron M.,65,79,1012,913,1.25,4.0,7-5 6-4
Winston-Salem Open at Wake Forest University,2021-08-23,ATP250,Outdoor,Hard,1st Round,3,Rinderknech A.,Simon G.,Simon G.,78,103,924,789,1.33,3.4,5-7 3-6
Winston-Salem Open at Wake Forest University,2021-08-23,ATP250,Outdoor,Hard,1st Round,3,Coria F.,Musetti L.,Coria F.,61,58,1054,1106,3.4,1.33,6-4 4-6 6-4
Winston-Salem Open at Wake Forest University,2021-08-23,ATP250,Outdoor,Hard,1st Round,3,Pella G.,Thompson J.,Thompson J.,84,59,879,1090,2.1,1.72,1-6 6-1 3-6
Winston-Salem Open at Wake Forest University,2021-08-23,ATP250,Outdoor,Hard,1st Round,3,Ivashka I.,Seppi A.,Ivashka I.,63,88,1025,873,1.33,3.4,6-4 6-4
Winston-Salem Open at Wake Forest University,2021-08-23,ATP250,Outdoor,Hard,1st Round,3,Kudla D.,Ruusuvuori E.,Ruusuvuori E.,92,76,833,948,2.37,1.57,3-6 4-6
Winston-Salem Open at Wake Forest University,2021-08-23,ATP250,Outdoor,Hard,1st Round,3,Mager G.,Wu T.L.,Mager G.,70,276,990,220,1.66,2.2,7-6 6-3
Winston-Salem Open at Wake Forest University,2021-08-23,ATP250,Outdoor,Hard,1st Round,3,Munar J.,Watanuki Y.,Watanuki Y.,64,255,1022,250,1.36,3.2,6-3 3-6 0-6
Winston-Salem Open at Wake Forest University,2021-08-23,ATP250,Outdoor,Hard,1st Round,3,Pouille L.,Lopez F.,Pouille L.,133,97,595,813,1.66,2.2,6-1 6-4
Winston-Salem Open at Wake Forest University,2021-08-24,ATP250,Outdoor,Hard,1st Round,3,Johnson S.,Popyrin A.,Popyrin A.,86,71,876,970,1.36,3.2,5-7 4-6
Winston-Salem Open at Wake Forest University,2021-08-24,ATP250,Outdoor,Hard,2nd Round,3,Koepfer D.,Cecchinato M.,Koepfer D.,56,80,1171,911,1.4,3.0,5-7 6-4 6-4
Winston-Salem Open at Wake Forest University,2021-08-24,ATP250,Outdoor,Hard,2nd Round,3,Gerasimov E.,Gasquet R.,Gasquet R.,81,82,910,896,2.62,1.5,6-7 6-7
Winston-Salem Open at Wake Forest University,2021-08-24,ATP250,Outdoor,Hard,2nd Round,3,Carreno Busta P.,Kwon S.W.,Carreno Busta P.,12,74,3325,949,1.22,4.33,6-3 3-6 6-4
Winston-Salem Open at Wake Forest University,2021-08-24,ATP250,Outdoor,Hard,2nd Round,3,Simon G.,Paire B.,Paire B.,103,49,789,1384,2.1,1.72,3-6 3-6
Winston-Salem Open at Wake Forest University,2021-08-24,ATP250,Outdoor,Hard,2nd Round,3,Herbert P.H.,Coria F.,Herbert P.H.,104,61,760,1054,1.44,2.75,6-4 6-2
Winston-Salem Open at Wake Forest University,2021-08-24,ATP250,Outdoor,Hard,2nd Round,3,Mager G.,Struff J.L.,Struff J.L.,70,52,990,1275,2.75,1.44,2-6 2-6
Winston-Salem Open at Wake Forest University,2021-08-24,ATP250,Outdoor,Hard,2nd Round,3,Ivashka I.,Cilic M.,Ivashka I.,63,36,1025,1650,2.1,1.72,4-6 7-5 6-4
Winston-Salem Open at Wake Forest University,2021-08-24,ATP250,Outdoor,Hard,2nd Round,3,Bublik A.,Ruusuvuori E.,Ruusuvuori E.,37,76,1633,948,2.0,1.8,2-6 6-7
Winston-Salem Open at Wake Forest University,2021-08-24,ATP250,Outdoor,Hard,2nd Round,3,Evans D.,Pouille L.,Evans D.,27,133,2074,595,1.4,3.0,3-6 6-4 6-1
Winston-Salem Open at Wake Forest University,2021-08-24,ATP250,Outdoor,Hard,2nd Round,3,Watanuki Y.,Fucsovics M.,Fucsovics M.,255,42,250,1539,4.0,1.25,5-7 1-6
Winston-Salem Open at Wake Forest University,2021-08-24,ATP250,Outdoor,Hard,2nd Round,3,Ymer M.,Ramos-Vinolas A.,Ymer M.,90,48,843,1400,1.8,2.0,6-3 6-1
Winston-Salem Open at Wake Forest University,2021-08-25,ATP250,Outdoor,Hard,2nd Round,3,Thompson J.,Purcell M.,Purcell M.,59,205,1090,356,1.36,3.2,5-7 4-6
Winston-Salem Open at Wake Forest University,2021-08-25,ATP250,Outdoor,Hard,2nd Round,3,Giron M.,Delbonis F.,Giron M.,65,47,1012,1407,1.36,3.2,6-3 6-4
Winston-Salem Open at Wake Forest University,2021-08-25,ATP250,Outdoor,Hard,2nd Round,3,Murray A.,Tiafoe F.,Tiafoe F.,114,51,730,1287,2.1,1.72,6-7 3-6
Winston-Salem Open at Wake Forest University,2021-08-25,ATP250,Outdoor,Hard,2nd Round,3,Alcaraz C.,Popyrin A.,Alcaraz C.,54,71,1224,970,1.72,2.1,6-7 6-1 7-6
Winston-Salem Open at Wake Forest University,2021-08-25,ATP250,Outdoor,Hard,2nd Round,3,Nava E.,Monteiro T.,Monteiro T.,1761,93,1,829,6.0,1.12,5-7 1-6
Winston-Salem Open at Wake Forest University,2021-08-25,ATP250,Outdoor,Hard,3rd Round,3,Carreno Busta P.,Koepfer D.,Carreno Busta P.,12,56,3325,1171,1.25,4.0,6-2 6-3
Winston-Salem Open at Wake Forest University,2021-08-25,ATP250,Outdoor,Hard,3rd Round,3,Struff J.L.,Ivashka I.,Ivashka I.,52,63,1275,1025,2.0,1.8,2-6 1-6
Winston-Salem Open at Wake Forest University,2021-08-25,ATP250,Outdoor,Hard,3rd Round,3,Ruusuvuori E.,Paire B.,Ruusuvuori E.,76,49,948,1384,1.66,2.2,6-4 4-6 6-1
Winston-Salem Open at Wake Forest University,2021-08-25,ATP250,Outdoor,Hard,3rd Round,3,Evans D.,Gasquet R.,Gasquet R.,27,82,2074,896,1.72,2.1,4-6 6-7
Winston-Salem Open at Wake Forest University,2021-08-25,ATP250,Outdoor,Hard,3rd Round,3,Ymer M.,Purcell M.,Ymer M.,90,205,843,356,1.44,2.75,7-5 6-2
Winston-Salem Open at Wake Forest University,2021-08-26,ATP250,Outdoor,Hard,3rd Round,3,Monteiro T.,Tiafoe F.,Tiafoe F.,93,51,829,1287,4.33,1.22,5-7 6-7
Winston-Salem Open at Wake Forest University,2021-08-26,ATP250,Outdoor,Hard,3rd Round,3,Giron M.,Herbert P.H.,Giron M.,65,104,1012,760,1.44,2.75,4-6 6-3 6-3
